FRAME_STOCK,SPEED,TIME/STRIP,PACKAGE_CODE
FR0306,5.0,261.59,NQ-400S400B024A
FR0306,5.0,261.59,NQC400E400B024A
FR0306,5.0,261.59,TQ-400E400B024A
FR0306,5.0,261.59,TQC400E400B024A
FR0306,5.0,261.59,TQC400E400B024K
FR0309,5.0,174.34,NQ-600E600B040A
FR0309,5.0,174.34,NQ-600E600B040K
FR0316,5.0,264.61,TD-500D300B016A
FR0316,5.0,264.61,TD-500D300B016K
FR0316,5.0,264.61,TD-500E300B016A
FR0316,5.0,264.61,TD-500E300B016K
FR0316,5.0,264.61,TD-500M300B016A
FR0316,5.0,264.61,TD-500M300B016K
FR0343,5.0,281.1,TQ-400E400C016A
FR0343,5.0,281.1,TQ-400E400C016K
FR0343,5.0,281.1,TQC400E400C016K
FR0345,3.0,350.62,ND-200E300B008P
FR0345,3.0,350.62,TD-200E300B008A
FR0345,3.0,350.62,TD-200E300B008D
FR0345,3.0,350.62,TD-200E300B008P
FR0345,3.0,350.62,TD-200S300B008D
FR0345,3.0,350.62,TD-200S300B008P
FR0350,3.0,363.75,TD-200E200C006P
FR0366,5.0,345.72,ND-200E200B008A
FR0366,5.0,345.72,ND-200E200B008K
FR0366,5.0,345.72,ND-200M200B008A
FR0366,5.0,345.72,NDC200E200B008A
FR0366,5.0,345.72,NDC200E200B008K
FR0366,5.0,345.72,TDC200E200B008A
FR0370,5.0,211.64,NQ-400E500B028A
FR0370,5.0,211.64,TQ-400E500B028A
FR0370,5.0,211.64,TQ-400E500B028K
FR0370,5.0,211.64,TQ-400S500B028A
FR0370,5.0,211.64,TQC400E500B028K
FR0371,5.0,191.11,TQ-500E600B028A
FR0371,5.0,191.11,TQ-500M600B028A
FR0371,5.0,191.11,TQ-500M600B028K
FR0373,3.0,221.48,NQ-600E600B040P
FR0379,5.0,235.67,TQ-300E300B016C
FR0379,5.0,235.67,TQ-300E300B016W
FR0382,5.0,168.49,NQ-700E700B048A
FR0382,5.0,168.49,TQ-700E7001048A
FR0382,5.0,168.49,TQ-700E700B048A
FR0382,5.0,168.49,TQ-700E700B048K
FR0382,5.0,168.49,TQ-700M700B048A
FR0383,3.0,178.61,TQ-900E900B064A
FR0383,3.0,178.61,TQ-900E900B064K
FR0383,3.0,178.61,TQ-900M900B064A
FR0383,3.0,178.61,TQ-900M900B064K
FR0383,5.0,147.2,TQ-900E900B064A
FR0383,5.0,147.2,TQ-900E900B064K
FR0383,5.0,147.2,TQ-900M900B064A
FR0383,5.0,147.2,TQ-900M900B064K
FR0384,5.0,227.99,TD-250D250C006A
FR0384,5.0,227.99,TD-250E250C006A
FR0384,5.0,227.99,TD-250M250C006A
FR0384,5.0,227.99,TD-250S250C006A
FR0400,5.0,285.09,TD-200S300M008A
FR0400,5.0,285.09,TD-200S300M008K
FR0434,3.0,270.48,ND-300E300B010D
